Minutes,Hour Began,Customers Affected,Latitude,Mean Elevation ,AvgAnnualPrecipitationIn,TempAvg,TempAvgHighF,TempAvgLowF,
0,18,75000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,17,156611,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,19,157000,40.0417,600,40.7,51.8,62.7,42.6,[0] 0
0,19,70135,35.5557,700,50.8,59,70.5,48.6,[0] 0
0,6,200000,35.5889,1300,36.4,59.6,72.3,48.3,[0] 0
0,23,65000,32.7794,500 ,56.9,62.8,75,52.2,[0] 0
0,2,169000,40.0417,600,40.7,51.8,62.7,42.6,[0] 0
0,18,66589,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,22,67000,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,17,138000,44.3467,900,33.9,44.4,55,35.3,[1] 0
0,16,219681,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,9,262000,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,17,72200,31.4757,1700,28.6,64.8,78.1,53.5,[1] 0
0,14,50000,42.2596,500,48.6,47.9,58.8,38.7,[0] 0
0,12,51000,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,19,89500,37.1841,2900,22.3,59.4,71.5,46.5,[1] 0
0,15,119000,37.5215,950,45.8,55.1,66.9,45.1,[0] 0
0,18,75500,39.055,350,45.2,54.2,65.4,45.4,[0] 0
0,19,95000,35.5889,1300,36.4,59.6,72.3,48.3,[0] 0
0,19,174000,37.5347,750,29,54.3,67.5,42.6,[0] 0
0,19,95000,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
0,3,103776,47.4501,1900,50.8,59,70.5,48.6,[0] 0
0,2,124888,37.1841,2900,22.3,59.4,71.5,46.5,[1] 0
0,17,120000,44.6243,1050,34.1,43.1,54,33.7,[0] 0
0,9,100000,28.6305,100,45.9,55.3,66.1,46.3,[0] 0
0,16,100000,37.5215,950,45.8,55.1,66.9,45.1,[0] 0
0,8,59000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,14,50000,28.6305,100,54.4,70.7,81.9,60.9,[0] 0
0,22,93000,39.8942,795,43.6,51.7,62.5,42.2,[0] 0
0,3,100000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,11,58379,38.9972,6800,18,45.1,60,32.4,[0] 0
0,7,55730,31.0689,100,59.7,66.4,77.5,56.7,[1] 0
0,20,50000,31.0689,100,59.7,66.4,77.5,56.7,[0] 0
0,17,72000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,20,76000,34.8938,650,52.5,60.4,71.8,50.2,[0] 0
0,21,84737,38.3566,800,43.5,54.5,66,44.5,[0] 0
0,5,204000,41.6219,500,18,45.1,60,32.4,[0] 0
0,3,124266,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,19,169000,32.6415,600,50.4,63.5,75.6,52.7,[0] 0
0,19,124000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,13,63000,35.858,900,55.1,57.6,69.4,47.5,[0] 0
0,19,161000,37.1841,2900,22.3,59.4,71.5,46.5,[0] 0
0,0,201000,39.8942,795,43.6,51.7,62.5,42.2,[0] 0
0,11,182410,44.3467,900,33.9,44.4,55,35.3,[0] 0
0,21,86501,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,5,60424,33.9169,350,48.3,62.4,74.7,52,[0] 0
0,23,63000,31.0689,100,59.7,66.4,77.5,56.7,[0] 0
0,14,104700,40.2862,850,41.1,50.7,61.7,41.6,[0] 0
0,20,257000,32.6415,600,50.4,63.5,75.6,52.7,[0] 0
0,14,96966,35.5889,1300,36.4,59.6,72.3,48.3,[0] 0
0,20,111644,32.7794,500 ,56.9,62.8,75,52.2,[0] 0
0,14,2491,31.4757,1700,28.6,64.8,78.1,53.5,[0] 0
